Metric,Value
Number of CPU cores,10
Average CPU usage (%),15.2214
Peak CPU usage (%),40.7769
Estimated energy used (J),24750.6
Elapsed wall time (s),17.429
Elapsed CPU time (s),42.27
Total time taken (ms),1.77816
Total data sent (MiB),728257784
Total comm (sent+received) (MiB),1417278224
Conv data (sent+received) (MiB),0
MatMul data (sent+received) (MiB),1038.16
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0
Relu data (sent+received) (MiB),155.846
Maxpool data (sent+received) (MiB),223.273
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Total time in Conv (s),0
Total time in MatMul (s),12.0882
Total time in BatchNorm (s),0
Total time in Truncation (s),1.60767
Total time in Relu (s),1.60767
Total time in MaxPool (s),2.31765
Total time in AvgPool (s),0.000156515
Total time in ArgMax (s),0
