Metric,Value
Number of CPU cores,10
Average CPU usage (%),20.9584
Peak CPU usage (%),42.6402
Estimated energy used (J),9570.15
Elapsed wall time (s),20.2269
Elapsed CPU time (s),43.97
Total time taken (ms),5.71951
Total data sent (MiB),870199448
Total comm (sent+received) (MiB),1494373496
Conv data (sent+received) (MiB),74.4498
MatMul data (sent+received) (MiB),74.4498
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0
Relu data (sent+received) (MiB),610.044
Maxpool data (sent+received) (MiB),809.472
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Total time in Conv (s),3.1386
Total time in MatMul (s),3.08791
Total time in BatchNorm (s),0
Total time in Truncation (s),6.59691
Total time in Relu (s),6.59691
Total time in MaxPool (s),9.02081
Total time in AvgPool (s),0.000696484
Total time in ArgMax (s),0
