Metric,Value
Number of CPU cores,8
Average CPU usage (%),6.05529
Peak CPU usage (%),28.9449
Estimated energy used (J),12773.5
Elapsed wall time (s),25.1043
Elapsed CPU time (s),21.01
Total time taken (ms),10.2673
Total data sent (MiB),224576608
Total comm (sent+received) (MiB),550906976
Conv data (sent+received) (MiB),0
MatMul data (sent+received) (MiB),3.95347
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0
Relu data (sent+received) (MiB),224.892
Maxpool data (sent+received) (MiB),322.062
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Total time in Conv (s),0
Total time in MatMul (s),9.79335
Total time in BatchNorm (s),0
Total time in Truncation (s),8.35233
Total time in Relu (s),8.35233
Total time in MaxPool (s),5.07614
Total time in AvgPool (s),0.000120184
Total time in ArgMax (s),0
