Metric,Value
Number of CPU cores,8
Average CPU usage (%),29.081
Peak CPU usage (%),587.486
Estimated energy used (J),79334.3
Elapsed wall time (s),120.518
Elapsed CPU time (s),298.5
Total time taken (ms),23.8418
Total data sent (MiB),4382906208
Total comm (sent+received) (MiB),8255351304
Conv data (sent+received) (MiB),1165.78
MatMul data (sent+received) (MiB),1156.8
BatchNorm data (sent+received) (MiB),760.919
Truncation data (sent+received) (MiB),0
Relu data (sent+received) (MiB),5820.99
Maxpool data (sent+received) (MiB),507.38
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Total time in Conv (s),50.9585
Total time in MatMul (s),49.9376
Total time in BatchNorm (s),2.04136
Total time in Truncation (s),60.0584
Total time in Relu (s),60.0557
Total time in MaxPool (s),5.31377
Total time in AvgPool (s),0.0142284
Total time in ArgMax (s),0
