Metric,Value
Number of CPU cores,8
Average CPU usage (%),11.3695
Peak CPU usage (%),35.0951
Estimated energy used (J),3662.79
Elapsed wall time (s),20.6232
Elapsed CPU time (s),14.12
Total time taken (ms),10.4286
Total data sent (MiB),892028152
Total comm (sent+received) (MiB),2179327720
Conv data (sent+received) (MiB),21.1999
MatMul data (sent+received) (MiB),21.1999
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0
Relu data (sent+received) (MiB),927.267
Maxpool data (sent+received) (MiB),1230.4
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Total time in Conv (s),2.12647
Total time in MatMul (s),2.05941
Total time in BatchNorm (s),0
Total time in Truncation (s),7.71089
Total time in Relu (s),7.71089
Total time in MaxPool (s),9.22604
Total time in AvgPool (s),0.00145809
Total time in ArgMax (s),0
