Metric,Value
Number of CPU cores,8
Average CPU usage (%),18.4889
Peak CPU usage (%),47.177
Estimated energy used (J),1751.66
Elapsed wall time (s),1.99155
Elapsed CPU time (s),4.53
Total time taken (ms),0.460756
Total data sent (MiB),62252224
Total comm (sent+received) (MiB),107219096
Conv data (sent+received) (MiB),7.49056
MatMul data (sent+received) (MiB),7.49056
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0
Relu data (sent+received) (MiB),40.7424
Maxpool data (sent+received) (MiB),58.9824
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Total time in Conv (s),0.707424
Total time in MatMul (s),0.701778
Total time in BatchNorm (s),0
Total time in Truncation (s),0.597661
Total time in Relu (s),0.597661
Total time in MaxPool (s),0.664399
Total time in AvgPool (s),1.458
Total time in ArgMax (s),0
