Metric,Value
Number of CPU cores,8
Average CPU usage (%),9.9695
Peak CPU usage (%),33.4246
Estimated energy used (J),24610
Elapsed wall time (s),25.8416
Elapsed CPU time (s),41.17
Total time taken (ms),4.16221
Total data sent (MiB),728257752
Total comm (sent+received) (MiB),1394128880
Conv data (sent+received) (MiB),0
MatMul data (sent+received) (MiB),1034.21
BatchNorm data (sent+received) (MiB),0
Truncation data (sent+received) (MiB),0
Relu data (sent+received) (MiB),147.955
Maxpool data (sent+received) (MiB),211.968
Avgpool data (sent+received) (MiB),0
ArgMax data (sent+received) (MiB),0
Total time in Conv (s),0
Total time in MatMul (s),16.6411
Total time in BatchNorm (s),0
Total time in Truncation (s),2.47251
Total time in Relu (s),2.47251
Total time in MaxPool (s),5.14594
Total time in AvgPool (s),0.000272812
Total time in ArgMax (s),0
